city_id,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
248,Kewanee,54,US,1619126893,34,41.2456,-89.9248,60.01,4.0
249,Srandakan,39,ID,1619126607,83,-7.9386,110.2506,73.83,3.2
250,Flin Flon,90,CA,1619126596,54,54.7682,-101.865,28.4,18.41
251,Rørvik,40,NO,1619126897,80,64.8621,11.2373,35.6,8.05
252,Kurchanskaya,1,RU,1619126899,87,45.2219,37.5853,44.01,8.95
253,Makkah al Mukarramah,91,SA,1619126655,35,21.4267,39.8261,85.93,3.38
254,Kruisfontein,6,ZA,1619126570,83,-34.0033,24.7314,66.0,5.01
255,Santa Clara,75,CU,1619126902,32,22.4,-79.9667,86.0,14.97
256,Bata,100,GQ,1619126904,84,1.8639,9.7658,80.82,7.9
257,Fort Nelson,75,CA,1619126768,28,58.8053,-122.7002,39.2,9.22
258,Bondoukou,23,CI,1619126907,64,8.0333,-2.8,80.49,2.91
259,Yulara,0,AU,1619126537,67,-25.2406,130.9889,55.4,6.91
260,Kālāvad,4,IN,1619126909,80,22.2167,70.3833,84.0,9.33
261,Oistins,20,BB,1619126911,57,13.0667,-59.5333,82.4,20.71
262,Mount Isa,36,AU,1619126528,34,-20.7333,139.5,64.4,9.22
263,Nome,1,US,1619126651,49,64.5011,-165.4064,42.8,6.91
264,Guangyuan,100,CN,1619126769,92,32.442,105.823,64.02,3.78
265,Coquimbo,40,CL,1619126585,77,-29.9533,-71.3436,60.8,11.5
266,Djenné,95,ML,1619126842,21,13.9061,-4.5533,96.33,15.12
267,Te Anau,88,NZ,1619126699,87,-45.4167,167.7167,48.69,4.81
268,Eyemouth,100,GB,1619126919,56,55.8713,-2.0901,46.0,7.63
269,Fare,2,PF,1619126921,74,-16.7,-151.0167,80.74,15.26
270,Pemberton,1,CA,1619126922,17,50.3164,-122.8027,60.8,5.75
271,Seoul,90,KR,1619126896,59,37.5683,126.9778,64.4,12.66
272,Port Antonio,20,JM,1619126925,70,18.18,-76.4612,84.2,9.22
273,Santiago del Estero,100,AR,1619126754,92,-27.7951,-64.2615,67.12,4.85
274,Mfou,89,CM,1619126927,96,3.7159,11.6427,70.61,3.13
275,Shaoguan,30,CN,1619126929,89,24.8,113.5833,72.64,1.86
276,Dingle,83,PH,1619126711,85,10.9995,122.6711,76.8,5.28
277,Bambous Virieux,75,MU,1619126578,94,-20.3428,57.7575,77.0,5.75
278,Gushikawa,75,JP,1619126933,100,26.3544,127.8686,71.6,21.85
279,Aswān,57,EG,1619126934,16,24.0934,32.907,88.88,9.35
280,Bonthe,49,SL,1619126936,80,7.5264,-12.505,81.79,8.16
281,Inírida,34,CO,1619126937,59,3.8653,-67.9239,89.1,1.28
282,Kutum,43,SD,1619126708,16,14.2,24.6667,79.72,9.89
283,Pangnirtung,75,CA,1619126693,86,66.1451,-65.7125,21.2,9.22
284,Fortuna,40,US,1619126724,82,40.5982,-124.1573,59.0,14.97
285,Talnakh,100,RU,1619126543,94,69.4865,88.3972,30.72,13.2
286,Vila Franca do Campo,40,PT,1619126571,82,37.7167,-25.4333,59.0,35.68
287,Tomatlán,96,MX,1619126945,27,19.9333,-105.25,91.67,10.92
288,Salalah,0,OM,1619126715,69,17.0151,54.0924,80.6,3.44
289,Bandundu Province,60,CD,1619126947,73,-3.3167,17.3667,77.74,0.49
290,Shingū,98,JP,1619126723,67,33.7333,135.9833,54.64,9.04
291,Great Falls,90,US,1619126357,74,47.5002,-111.3008,30.99,20.71
292,Atar,0,MR,1619126707,11,20.5169,-13.0499,84.02,7.14
293,Saravan,75,AM,1619126952,77,39.7196,45.6483,59.0,9.22
294,Shubarshi,100,KZ,1619126954,48,48.5872,57.1869,49.87,17.49
295,Villa de Reyes,75,MX,1619126955,17,21.8,-100.9333,86.0,13.8
296,Saint George,1,US,1619126691,16,37.1041,-113.5841,75.0,10.36
297,The Valley,20,AI,1619126745,74,18.217,-63.0578,82.4,14.97
298,Alofi,75,NU,1619126851,74,-19.0595,-169.9187,84.2,12.66
299,Guthrie,90,US,1619126896,50,35.8789,-97.4253,57.0,10.36
300,Skibbereen,40,IE,1619126962,87,51.55,-9.2667,44.6,11.5
301,Timizart,93,DZ,1619126963,91,36.8,4.2667,54.0,2.62
302,Wasilla,1,US,1619126846,33,61.5814,-149.4394,55.4,3.44
303,Harper,80,LR,1619126871,81,4.375,-7.7169,81.39,7.67
304,Akim Swedru,100,GH,1619126967,84,5.8938,-1.0164,79.16,3.89
305,Aykhal,99,RU,1619126934,94,66.0,111.5,22.62,25.46
306,Bonavista,100,CA,1619126970,66,48.6499,-53.1147,50.0,8.05
307,Ketchikan,1,US,1619126697,30,55.3422,-131.6461,55.4,12.66
308,Korem,90,ET,1619126972,36,12.5058,39.5228,63.27,4.83
309,Strezhevoy,0,RU,1619126846,59,60.7333,77.5889,28.4,8.95
310,Esperance,99,AU,1619126975,94,-33.8667,121.9,53.6,8.05
311,Quartucciu,0,IT,1619126977,100,39.2519,9.1794,59.0,6.91
312,Lagoa,60,PT,1619126882,78,39.05,-27.9833,56.77,41.76
313,Alice Springs,0,AU,1619126715,76,-23.7,133.8833,44.6,4.61
314,Datong,91,CN,1619126980,65,40.0936,113.2914,53.73,6.2
315,Nassau,75,US,1619126982,31,40.7507,-73.5829,48.0,14.97
316,Guiglo,45,CI,1619126716,97,6.5456,-7.4966,73.31,2.19
317,Wrocław,20,PL,1619126965,93,51.1,17.0333,41.0,4.61
318,Khovd,100,MN,1619126705,30,48.0056,91.6419,32.52,4.9
319,Sokoni,20,TZ,1619126987,89,-6.4333,39.55,80.6,10.36
320,Taltal,27,CL,1619126988,75,-25.4,-70.4833,64.99,6.22
321,Atambua,31,ID,1619126990,86,-9.1061,124.8925,70.54,3.53
322,Tyukhtet,11,RU,1619126991,92,56.5389,89.3011,23.7,4.21
323,Svobodnyy,100,RU,1619126993,38,51.4,128.1333,37.24,15.37
324,Cabedelo,20,BR,1619126994,89,-6.9811,-34.8339,80.6,8.05
325,Tubualá,40,PA,1619126995,62,9.5167,-79.0333,91.4,6.91
326,Beloha,48,MG,1619126905,78,-25.1667,45.05,70.95,16.53
327,Aklavik,20,CA,1619126728,54,68.2191,-135.0107,26.6,5.75
328,Saint-Paul,90,RE,1619126999,83,-21.0096,55.2707,75.99,14.97
329,Kodinsk,32,RU,1619127001,94,58.6881,99.1844,15.31,2.46
330,Guane,56,CU,1619127002,50,22.2025,-84.0875,85.95,2.75
331,Thompson,90,CA,1619126699,79,55.7435,-97.8558,21.2,21.85
332,Killybegs,0,IE,1619126919,54,54.6333,-8.45,51.8,9.22
333,Berlevåg,75,NO,1619126670,75,70.8578,29.0864,35.6,9.22
334,Aripuanã,56,BR,1619127009,96,-9.1667,-60.6333,74.25,0.36
335,Imeni Babushkina,44,RU,1619127010,96,59.7573,43.1285,38.05,5.77
336,Cabo San Lucas,20,MX,1619126653,44,22.8909,-109.9124,84.2,5.75
337,Kavieng,97,PG,1619126704,76,-2.5744,150.7967,80.94,7.63
338,Huilong,96,CN,1619127014,87,31.8111,121.655,68.0,4.32
339,Lüderitz,1,NA,1619126706,73,-26.6481,15.1594,64.85,5.12
340,Hofn,75,IS,1619127017,70,64.2539,-15.2082,42.8,4.61
341,Province of Brindisi,100,IT,1619127018,91,40.5833,17.6667,57.99,3.0
342,Constitución,100,CL,1619126524,76,-35.3333,-72.4167,58.86,10.83
343,Nālūt,20,LY,1619126770,19,30.3333,10.85,79.36,7.76
344,Mnogovershinnyy,100,RU,1619126928,99,53.9353,139.9242,32.58,3.96
345,São Gabriel da Cachoeira,99,BR,1619127023,96,-0.1303,-67.0892,76.24,0.81
346,Youghal,78,IE,1619127025,85,51.95,-7.8506,46.0,7.0
347,San Patricio,90,US,1619127026,78,28.017,-97.5169,73.0,17.27
348,Sovetsk,98,RU,1619127028,92,55.0839,21.8785,36.37,14.25
349,Dori,53,BF,1619127029,30,14.0354,-0.0345,92.32,10.67
350,Ust-Maya,100,RU,1619127031,80,60.4167,134.5333,20.64,8.32
351,Cidreira,1,BR,1619126689,72,-30.1811,-50.2056,69.67,15.59
352,Callaway,1,US,1619127033,23,30.153,-85.5699,71.01,6.91
353,Anadyr,20,RU,1619127035,92,64.75,177.4833,10.4,8.95
354,Soe,12,ID,1619126894,92,-9.8607,124.284,61.77,3.83
